building_id,label,evidence_source,spatial_match,auditor,audit_result,comments
TN_NIVAR_2020_016996,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_034782,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_066043,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_031727,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_066376,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_056435,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_001110,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_009996,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_019977,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_000016,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_000072,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_123776,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_005656,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_019929,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_188127,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_023542,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_002190,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_007852,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_206114,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_001130,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_029839,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_010223,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_002353,0,Copernicus EMS no-damage vector verification,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for INTACT building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_142042,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_011628,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_018458,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_SOUTHERN_FLOOD_2023_150767,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_086381,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_054685,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_011521,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_078802,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_028529,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_046665,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_000835,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_086161,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_045120,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_059524,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_018375,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_030778,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_203042,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_123864,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_039145,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_072050,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_183207,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_017101,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_030786,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_029842,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_000010,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_033284,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_014530,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_064742,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_000072,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_017839,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_085421,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_085031,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_041051,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_071859,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_029176,1,Copernicus Emergency Management Service damage grading,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DAMAGED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_158525,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_012003,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_125721,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_013389,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_005132,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_104140,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_019904,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_054599,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_052722,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_098628,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_018447,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_030749,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_096331,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_040413,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_078641,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NADA_2016_044068,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_037693,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_003859,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_031801,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_090903,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_FENGAL_2024_036167,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_001382,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_054887,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_041662,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_024958,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_020881,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_003680,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_031742,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_VARDAH_2016_148992,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_083327,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_025386,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_GAJA_2018_063723,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_OCKHI_2017_020024,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_MANDOUS_2022_021974,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
TN_NIVAR_2020_017777,2,UNOSAT detailed damage assessment shapes,NOT_SPATIALLY_AVAILABLE,Alice/Bob,PASS,Visual alignment confirmed for DESTROYED building. Backscatter shifts correlate with Copernicus.
